Time,main_inst.manager.metadata,main_inst.crawler-join,main_inst.web-service,main_inst.manager.query,main_inst.manager.bm,main_inst.hash,main_inst.manager.dedup-index,main_inst.manager.store,main_inst.crawler,main_inst.crawler-element-3,main_inst.crawler-element-2,main_inst.crawler-element-1,main_inst.crawler-element-0
6.5362098217,0.000350952148438,0,0,0,-0.00151920318604,0,0.0,0.0,0.000970602035522,0,0,0,0
10.5959758759,0.00389788831983,-0.000169426202774,0,0.0,-0.0040598343248,0.00590543997915,0.304901008606,-0.00645713372664,0.0,0.0,1.70841598511,0.528611580531,0.0
14.6611728668,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.00559618256309,0.0,0.0,0.0,0.0,0.0
18.7241859436,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.00559618256309,0.0,0.0,0.0,0.0,0.0
22.7866549492,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.00559618256309,0.0,0.0,0.0,0.0,0.0
26.8473818302,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.00559618256309,0.0,0.0,0.0,0.0,0.0
30.9264428616,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.00559618256309,0.0,0.0,0.0,0.0,0.0
34.9882309437,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.00559618256309,0.0,0.0,0.0,0.0,0.0
39.0511238575,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.00559618256309,0.0,0.0,0.0,0.0,0.0
43.1128389835,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.00559618256309,0.0,0.0,0.0,0.0,0.0
47.1754047871,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.00559618256309,0.0,0.0,0.0,0.0,0.0
51.2409307957,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.00559618256309,0.0,0.0,0.0,0.0,0.0
55.3275589943,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.00559618256309,0.0,0.0,0.0,0.0,0.0
59.3957049847,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.00559618256309,0.0,0.0,0.0,0.0,0.0
63.5953979492,0.0,0.0,0,0.683968019485,0.0,0.0,-0.000971112588439,-0.00559618256309,0.0,0.0,0.0,0.0,0.0
67.6645598412,0.0,0.0,0,-0.265599155426,0.0,0.0,0.0,-0.0404663085938,0.0,0.0,0.0,0.0,0.0
71.6695008278,0.0,0.0,0,-0.265599155426,0.0,0.0,0.0,-0.0404663085938,0.0,0.0,0.0,0.0,0.0
